co2,co2_per_capita,oil_co2,oil_co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,cumulative_oil_co2,share_global_co2,share_global_oil_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,population
33.621,1.206,16.691,0.599,0.98,0.325,552.375,259.749,0.09,0.14,0.04,0.05,27884380.0
31.404,1.089,15.403,0.534,-6.6,-2.217,583.779,275.152,0.09,0.13,0.04,0.05,28842482.0
28.42,0.953,12.835,0.43,-9.5,-2.983,612.2,287.987,0.08,0.11,0.04,0.05,29816769.0
24.376,0.791,12.963,0.421,-14.23,-4.045,636.575,300.95,0.07,0.11,0.04,0.05,30809787.0
23.487,0.738,12.409,0.39,-3.65,-0.889,660.062,313.359,0.06,0.1,0.04,0.05,31825299.0
22.198,0.675,11.08,0.337,-5.49,-1.289,682.26,324.439,0.06,0.1,0.04,0.05,32866267.0
0.051,5.614,0.051,5.614,0.0,0.0,0.103,0.103,0.0,0.0,0.0,0.0,9138.0
0.055,5.889,0.055,5.889,7.14,0.004,0.158,0.158,0.0,0.0,0.0,0.0,9333.0
0.066,6.949,0.066,6.949,20.0,0.011,0.224,0.224,0.0,0.0,0.0,0.0,9491.0
0.066,6.827,0.066,6.827,0.0,0.0,0.289,0.289,0.0,0.0,0.0,0.0,9661.0
0.066,6.683,0.066,6.683,0.0,0.0,0.355,0.355,0.0,0.0,0.0,0.0,9868.0
0.07,6.881,0.07,6.881,5.56,0.004,0.425,0.425,0.0,0.0,0.0,0.0,10117.0
0.07,6.702,0.07,6.702,0.0,0.0,0.495,0.495,0.0,0.0,0.0,0.0,10388.0
0.077,7.202,0.077,7.202,10.53,0.007,0.572,0.572,0.0,0.0,0.0,0.0,10684.0
0.081,7.342,0.081,7.342,4.76,0.004,0.652,0.652,0.0,0.0,0.0,0.0,10979.0
0.088,7.819,0.088,7.819,9.09,0.007,0.74,0.74,0.0,0.0,0.0,0.0,11247.0
0.095,8.269,0.095,8.269,8.33,0.007,0.835,0.835,0.0,0.0,0.0,0.0,11520.0
0.095,8.103,0.095,8.103,0.0,0.0,0.931,0.931,0.0,0.0,0.0,0.0,11756.0
0.103,8.554,0.103,8.554,7.69,0.007,1.033,1.033,0.0,0.0,0.0,0.0,11993.0
0.121,9.886,0.121,9.886,17.86,0.018,1.154,1.154,0.0,0.0,0.0,0.0,12230.0
0.128,10.307,0.128,10.307,6.06,0.007,1.282,1.282,0.0,0.0,0.0,0.0,12442.0
0.143,11.287,0.143,11.287,11.43,0.015,1.425,1.425,0.0,0.0,0.0,0.0,12660.0
0.15,11.68,0.15,11.68,5.13,0.007,1.576,1.576,0.0,0.0,0.0,0.0,12862.0
0.15,11.506,0.15,11.506,0.0,0.0,1.726,1.726,0.0,0.0,0.0,0.0,13056.0
0.147,11.063,0.147,11.063,-2.44,-0.004,1.872,1.872,0.0,0.0,0.0,0.0,13248.0
0.15,11.181,0.15,11.181,2.5,0.004,2.023,2.023,0.0,0.0,0.0,0.0,13436.0
0.143,10.498,0.143,10.498,-4.88,-0.007,2.165,2.165,0.0,0.0,0.0,0.0,13612.0
0.143,10.359,0.143,10.359,0.0,0.0,2.308,2.308,0.0,0.0,0.0,0.0,13794.0
0.117,8.404,0.117,8.404,-17.95,-0.026,2.426,2.426,0.0,0.0,0.0,0.0,13952.0
0.139,9.865,0.139,9.865,18.75,0.022,2.565,2.565,0.0,0.0,0.0,0.0,14114.0
0.154,10.777,0.154,10.777,10.53,0.015,2.719,2.719,0.0,0.0,0.0,0.0,14279.0
0.154,10.661,0.154,10.661,0.0,0.0,2.873,2.873,0.0,0.0,0.0,0.0,14435.0
0.143,9.795,0.143,9.795,-7.14,-0.011,3.015,3.015,0.0,0.0,0.0,0.0,14588.0
0.143,9.696,0.143,9.696,0.0,0.0,3.158,3.158,0.0,0.0,0.0,0.0,14738.0
0.139,9.378,0.139,9.378,-2.39,-0.003,3.298,3.298,0.0,0.0,0.0,0.0,14872.0
0.123,8.227,0.123,8.227,-11.51,-0.016,3.421,3.421,0.0,0.0,0.0,0.0,15002.0
0.213,3.354,0.213,3.354,-3.33,-0.007,10.794,10.794,0.0,0.0,0.0,0.0,63363.0
0.209,3.24,0.209,3.24,-1.72,-0.004,11.003,11.003,0.0,0.0,0.0,0.0,64459.0
0.216,3.286,0.216,3.286,3.51,0.007,11.219,11.219,0.0,0.0,0.0,0.0,65777.0
0.216,3.217,0.216,3.217,0.0,0.0,11.435,11.435,0.0,0.0,0.0,0.0,67201.0
0.224,3.255,0.224,3.255,3.39,0.007,11.659,11.659,0.0,0.0,0.0,0.0,68672.0
0.238,3.394,0.238,3.394,6.56,0.015,11.897,11.897,0.0,0.0,0.0,0.0,70176.0
0.256,3.577,0.256,3.577,7.69,0.018,12.153,12.153,0.0,0.0,0.0,0.0,71707.0
0.271,3.703,0.271,3.703,5.71,0.015,12.425,12.425,0.0,0.0,0.0,0.0,73219.0
0.282,3.778,0.282,3.778,4.05,0.011,12.707,12.707,0.0,0.0,0.0,0.0,74674.0
0.293,3.856,0.293,3.856,3.9,0.011,13.0,13.0,0.0,0.0,0.0,0.0,76007.0
0.297,3.844,0.297,3.844,1.25,0.004,13.297,13.297,0.0,0.0,0.0,0.0,77212.0
0.33,4.212,0.33,4.212,11.11,0.033,13.626,13.626,0.0,0.0,0.0,0.0,78298.0
0.352,4.435,0.352,4.435,6.67,0.022,13.978,13.978,0.0,0.0,0.0,0.0,79311.0
0.366,4.56,0.366,4.56,4.17,0.015,14.345,14.345,0.0,0.0,0.0,0.0,80347.0
0.374,4.588,0.374,4.588,2.0,0.007,14.718,14.718,0.0,0.0,0.0,0.0,81462.0
0.385,4.651,0.385,4.651,2.94,0.011,15.103,15.103,0.0,0.0,0.0,0.0,82715.0
0.407,4.84,0.407,4.84,5.71,0.022,15.51,15.51,0.0,0.0,0.0,0.0,84029.0
0.418,4.891,0.418,4.891,2.7,0.011,15.927,15.927,0.0,0.0,0.0,0.0,85394.0
0.443,5.111,0.443,5.111,6.14,0.026,16.371,16.371,0.0,0.0,0.0,0.0,86743.0
0.454,5.161,0.454,5.161,2.48,0.011,16.825,16.825,0.0,0.0,0.0,0.0,88030.0
0.443,4.967,0.443,4.967,-2.42,-0.011,17.268,17.268,0.0,0.0,0.0,0.0,89250.0
0.458,5.066,0.458,5.066,3.31,0.015,17.726,17.726,0.0,0.0,0.0,0.0,90407.0
0.462,5.045,0.462,5.045,0.8,0.004,18.188,18.188,0.0,0.0,0.0,0.0,91510.0
0.462,4.988,0.462,4.988,0.0,0.0,18.65,18.65,0.0,0.0,0.0,0.0,92562.0
0.48,5.13,0.48,5.13,3.97,0.018,19.13,19.13,0.0,0.0,0.0,0.0,93571.0
0.491,5.194,0.491,5.194,2.29,0.011,19.621,19.621,0.0,0.0,0.0,0.0,94520.0
0.491,5.145,0.491,5.145,0.0,0.0,20.112,20.112,0.0,0.0,0.0,0.0,95425.0
0.498,5.176,0.498,5.176,1.49,0.007,20.61,20.61,0.0,0.0,0.0,0.0,96282.0
0.486,5.008,0.486,5.008,-2.39,-0.012,21.096,21.096,0.0,0.0,0.0,0.0,97115.0
0.43,4.395,0.43,4.395,-11.51,-0.056,21.527,21.527,0.0,0.0,0.0,0.0,97928.0
117.506,3.552,61.233,1.851,4.84,5.427,3788.954,2497.98,0.51,0.63,0.46,0.9,33079002.0
121.231,3.616,63.633,1.898,3.17,3.725,3910.185,2561.612,0.54,0.69,0.46,0.89,33529320.0
117.777,3.467,67.154,1.977,-2.85,-3.453,4027.962,2628.767,0.52,0.73,0.46,0.88,33970103.0
122.229,3.553,67.203,1.953,3.78,4.452,4150.191,2695.97,0.53,0.73,0.46,0.88,34402669.0
